driver,month,spec,n_files,n_lines,commit,sample_path
PYTHON,2023-12,bson-corpus,31,5250,60d07615,test/bson_corpus/array.json
PYTHON,2023-12,change-streams,8,8197,60d07615,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-12,client-side-encryption,137,87816,60d07615,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-12,client-side-operations-timeout,24,31155,60d07615,test/csot/bulkWrite.json
PYTHON,2023-12,collection-management,4,814,60d07615,test/collection_management/clustered-indexes.json
PYTHON,2023-12,command-monitoring,14,3003,60d07615,test/command_monitoring/bulkWrite.json
PYTHON,2023-12,connection-monitoring-and-pooling,30,1934,60d07615,test/cmap/connection-must-have-id.json
PYTHON,2023-12,connection-string,10,1726,60d07615,test/connection_string/test/invalid-uris.json
PYTHON,2023-12,crud,142,31521,60d07615,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-12,faas-automated-testing,2,104,60d07615,test/lambda/events/event.json
PYTHON,2023-12,gridfs,5,2475,60d07615,test/gridfs/delete.json
PYTHON,2023-12,index-management,5,614,60d07615,test/index_management/createSearchIndex.json
PYTHON,2023-12,initial-dns-seedlist-discovery,53,665,60d07615,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-12,load-balancers,8,3943,60d07615,test/load_balancer/cursors.json
PYTHON,2023-12,max-staleness,32,2293,60d07615,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-12,read-write-concern,6,1212,60d07615,test/read_write_concern/document/read-concern.json
PYTHON,2023-12,retryable-reads,43,21268,60d07615,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-12,retryable-writes,33,8244,60d07615,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-12,run-command,2,1512,60d07615,test/run_command/unified/runCommand.json
PYTHON,2023-12,server-discovery-and-monitoring,200,22203,60d07615,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-12,server-selection,68,2783,60d07615,test/server_selection/in_window/equilibrium.json
PYTHON,2023-12,sessions,7,3343,60d07615,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-12,transactions,36,26646,60d07615,test/transactions/legacy/abort.json
PYTHON,2023-12,transactions-convenient-api,9,3780,60d07615,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-12,unified-test-format,271,11742,60d07615,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-12,uri-options,10,1400,60d07615,test/uri_options/auth-options.json
PYTHON,2023-12,versioned-api,6,2834,60d07615,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2024-01,atlas-data-lake-testing,7,282,b185e50e,test/data_lake/aggregate.json
PYTHON,2024-01,auth,3,935,b185e50e,test/auth/legacy/connection-string.json
PYTHON,2024-01,bson-corpus,31,5250,b185e50e,test/bson_corpus/array.json
PYTHON,2024-01,change-streams,8,8197,b185e50e,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2024-01,client-side-encryption,141,89901,b185e50e,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2024-01,client-side-operations-timeout,24,31155,b185e50e,test/csot/bulkWrite.json
PYTHON,2024-01,collection-management,4,814,b185e50e,test/collection_management/clustered-indexes.json
PYTHON,2024-01,command-monitoring,14,3003,b185e50e,test/command_monitoring/bulkWrite.json
PYTHON,2024-01,connection-monitoring-and-pooling,32,2092,b185e50e,test/cmap/connection-must-have-id.json
PYTHON,2024-01,connection-string,10,1726,b185e50e,test/connection_string/test/invalid-uris.json
PYTHON,2024-01,crud,142,31521,b185e50e,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2024-01,faas-automated-testing,2,104,b185e50e,test/lambda/events/event.json
PYTHON,2024-01,gridfs,5,2475,b185e50e,test/gridfs/delete.json
PYTHON,2024-01,index-management,5,614,b185e50e,test/index_management/createSearchIndex.json
PYTHON,2024-01,initial-dns-seedlist-discovery,53,665,b185e50e,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2024-01,load-balancers,8,3943,b185e50e,test/load_balancer/cursors.json
